id,price,accommodates,bedrooms,bathrooms,beds,neighbourhood_cleansed,room_type,property_type,minimum_nights,latitude,longitude,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_total_listings_count,instant_bookable,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,n_amenities,amen_wifi,amen_kitchen,amen_hot_water,amen_hair_dryer,amen_bed_linens,amen_hangers,amen_essentials,amen_cooking_basics,amen_refrigerator,amen_dishes_and_silverware,amen_iron,amen_heating,amen_dedicated_workspace,amen_self_check_in,amen_long_term_stays_allowed,amen_oven,amen_shampoo,amen_dishwasher,amen_hot_water_kettle,amen_room_darkening_shades,amen_tv,amen_dining_table,amen_wine_glasses,amen_washer,amen_elevator,amen_lockbox,amen_microwave,amen_freezer,amen_stove,amen_bathtub,text_name_len,text_desc_len,text_luxury,text_view,text_central,text_modern,text_terrace,text_renovated,text_lake,text_river,text_quiet,text_design,text_spacious,text_charming
33150798,614.0,2,,1.0,1.0,Hochschulen,Hotel room,Room in hotel,1,47.37742,8.54365,25,55,85,290,667,93,4,8.74,0,100.0,99.0,1.0,2,1,4.69,4.74,4.86,4.87,4.77,4.92,4.55,14,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,48,284,0,0,1,0,0,0,0,0,0,1,0,0
33152255,224.0,2,1.0,1.0,1.0,Hottingen,Hotel room,Room in hotel,1,47.37027,8.55104,24,54,84,289,278,46,2,3.55,0,100.0,100.0,1.0,2,1,4.72,4.79,4.83,4.88,4.78,4.79,4.56,11,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,50,448,0,0,0,0,0,0,1,0,1,1,0,0
33207907,131.0,2,1.0,1.0,1.0,Sihlfeld,Entire home/apt,Entire rental unit,7,47.37559,8.51154,0,0,0,271,0,0,0,,0,80.0,75.0,3.0,14,0,,,,,,,,30,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,31,493,0,0,0,0,0,0,0,0,0,0,1,0
33360498,93.0,1,1.0,1.5,1.0,Fluntern,Private room,Private room in villa,1,47.37609,8.56596,23,47,77,167,66,26,1,0.9,1,100.0,93.0,2.0,30,0,4.98,4.92,4.91,4.95,4.97,4.95,4.91,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,35,465,0,0,0,0,0,0,0,0,1,0,0,0
33572316,65.0,1,1.0,1.0,1.0,Seebach,Private room,Private room in rental unit,3,47.41867,8.5435,24,54,84,359,24,2,0,0.31,0,50.0,67.0,3.0,10,0,4.63,4.63,4.71,4.54,4.71,4.88,4.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48,21,0,0,0,0,0,0,0,0,1,0,0,0
33740170,58.0,1,1.0,1.0,1.0,Seebach,Private room,Private room in rental unit,4,47.41862,8.54482,27,57,87,362,29,2,0,0.38,0,50.0,67.0,3.0,10,0,4.48,4.79,4.24,4.69,4.9,4.62,4.48,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,226,0,0,0,0,0,0,0,0,1,0,0,0
33820792,68.0,1,2.0,1.0,1.0,Langstrasse,Private room,Private room in rental unit,1,47.37627,8.52315,24,29,29,29,105,20,1,1.81,1,100.0,90.0,2.0,4,0,4.9,4.89,4.9,4.88,4.99,4.87,4.8,25,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,32,437,0,0,1,0,0,0,0,0,0,0,0,1
34105681,61.0,1,1.0,1.0,1.0,Gewerbeschule,Entire home/apt,Entire rental unit,1,47.38221,8.53019,0,0,0,168,41,0,0,0.52,0,,,,7,1,4.83,4.9,4.95,4.98,4.98,4.93,4.73,6,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,451,0,0,1,0,0,1,0,0,0,0,0,0
34283991,135.0,2,1.0,1.0,1.0,Rathaus,Entire home/apt,Entire rental unit,2,47.37455,8.54466,20,50,78,353,273,61,3,3.51,1,100.0,100.0,1.0,1,0,4.84,4.89,4.91,4.82,4.86,4.9,4.73,32,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,22,466,0,0,0,0,0,0,0,0,0,0,0,0
34300920,51.0,1,1.0,1.5,1.0,Affoltern,Private room,Private room in rental unit,5,47.4251,8.50299,3,25,35,35,89,12,2,1.16,1,100.0,98.0,2.0,4,0,5.0,4.99,4.98,4.99,4.99,4.84,4.88,28,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,42,455,0,0,0,0,0,0,0,0,0,0,0,0
