accommodates,bedrooms,bathrooms,beds,neighbourhood_cleansed,room_type,property_type,minimum_nights,latitude,longitude,instant_bookable,n_amenities,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,amen_wifi,amen_kitchen,amen_hot_water,amen_hair_dryer,amen_bed_linens,amen_hangers,amen_essentials,amen_cooking_basics,amen_refrigerator,amen_dishes_and_silverware,amen_iron,amen_heating,amen_dedicated_workspace,amen_self_check_in,amen_long_term_stays_allowed,amen_oven,amen_shampoo,amen_dishwasher,amen_hot_water_kettle,amen_room_darkening_shades,amen_tv,amen_dining_table,amen_wine_glasses,amen_washer,amen_elevator,amen_lockbox,amen_microwave,amen_freezer,amen_stove,amen_bathtub,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_total_listings_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,text_name_len,text_desc_len,text_luxury,text_view,text_central,text_modern,text_terrace,text_renovated,text_lake,text_river,text_quiet,text_design,text_spacious,text_charming,dist_hallenstadion_km,dist_letzigrund_km,dist_messe_km,dist_opernhaus_km,dist_hb_km,min_dist_venue_km
2,1.0,1.0,1.0,Alt-Wiedikon,Entire home/apt,Entire rental unit,1,47.36818,8.51976,1,32,22,52,82,357,16,16,7,7.27,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,100.0,100.0,1.0,8,4.69,4.81,4.44,5.0,4.88,4.75,4.38,40,164,0,0,0,0,0,0,0,0,0,0,0,1,7.409304171177395,1.758646177129475,5.132032687898023,2.030001816438048,1.8869439498497063,1.758646177129475
1,1.0,1.0,1.0,Enge,Private room,Private room in rental unit,3,47.36414,8.52931,1,51,13,30,33,53,20,20,3,2.42,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,100.0,98.0,1.0,165,5.0,5.0,5.0,5.0,5.0,4.95,4.9,50,496,0,0,0,0,0,1,1,0,0,0,1,0,7.66449395984743,2.5914738969550823,5.302152419460099,1.2947444872304408,1.7395351454904915,1.2947444872304408
4,0.0,1.0,2.0,Gewerbeschule,Entire home/apt,Entire rental unit,4,47.3837438,8.5267938,0,50,0,27,57,332,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100.0,94.0,1.0,52,,,,,,,,34,482,0,0,1,1,0,0,0,0,1,1,0,0,5.599570072101843,1.8336426753319732,3.3493016233713275,2.5179784294979797,1.2067975435807854,1.2067975435807854
4,2.0,1.0,2.0,Enge,Entire home/apt,Entire rental unit,30,47.3595301,8.5269848,1,26,0,0,25,300,1,1,0,0.11,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,100.0,99.0,3.0,214,4.0,4.0,4.0,5.0,5.0,4.0,4.0,50,249,0,0,0,0,0,0,0,0,0,0,0,0,8.201928428089765,2.8395564839614615,5.843179794528939,1.6013831058731633,2.2755034700482257,1.6013831058731633
2,0.0,1.0,1.0,Hirslanden,Entire home/apt,Entire rental unit,2,47.3601469,8.5668119,1,40,15,15,15,60,25,21,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,100.0,95.0,1.0,252,4.56,4.76,4.64,4.64,4.64,4.72,4.52,40,426,0,0,1,1,0,0,0,0,1,0,1,0,8.062344583082595,5.2402369362400085,5.710460292201371,1.644616398251142,2.807718975667604,1.644616398251142
2,1.0,1.0,1.0,Fluntern,Entire home/apt,Entire rental unit,2,47.37895,8.55839,0,36,28,58,88,363,44,0,0,0.36,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,80.0,75.0,3.0,14,4.84,4.93,4.75,4.98,4.98,4.77,4.63,25,277,0,0,0,0,0,0,0,0,0,0,0,0,5.903565377804113,4.148298768498399,3.5303710495839895,1.756518611174985,1.3670991848643756,1.3670991848643756
4,1.0,1.0,1.0,Sihlfeld,Entire home/apt,Entire rental unit,2,47.37236,8.519851,1,26,9,20,22,67,43,6,0,0.89,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,100.0,95.0,1.0,252,4.74,4.84,4.79,4.88,4.81,4.67,4.58,48,499,0,0,1,0,0,0,0,0,0,0,1,0,6.965416480136434,1.47174014453697,4.711790702975519,2.1439514187485775,1.6584746490530575,1.47174014453697
4,2.0,2.0,2.0,Friesenberg,Entire home/apt,Entire rental unit,30,47.36207,8.50419,1,29,0,0,0,248,1,0,0,0.05,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,100.0,99.0,3.0,214,3.0,5.0,5.0,1.0,3.0,5.0,5.0,50,226,0,0,0,0,0,0,0,0,0,0,0,0,8.460356057934058,1.9281732923347266,6.291482236318582,3.2006199758016334,3.239344148907215,1.9281732923347266
1,1.0,1.0,1.0,Hirslanden,Private room,Private room in rental unit,20,47.36021,8.56973,1,35,23,23,31,66,101,14,1,1.17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,100.0,100.0,1.0,4,4.85,4.83,4.93,4.94,4.95,4.8,4.74,43,519,0,1,0,0,0,0,0,0,0,0,0,1,8.09385459690422,5.438799578011856,5.760410265487319,1.8495169689487154,2.9633541137425676,1.8495169689487154
2,1.0,2.0,1.0,Saatlen,Private room,Private room in home,1,47.41468,8.56736,0,15,4,18,34,34,37,37,10,10.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,100.0,93.0,1.0,1,4.89,4.89,4.97,4.97,4.95,4.76,4.84,21,145,0,0,0,0,0,0,0,0,0,0,0,0,2.3210080771182438,6.2160225525555495,1.504508770501311,5.702331814022757,4.568881830605652,1.504508770501311
